timestamp,sim_time_s,total_vehicles,avg_speed_ms,avg_speed_kmh,avg_wait_s,max_wait_s,throughput,departed,teleported,e1_id,e1_count,e1_spd_kmh,e1_occ,e2_id,e2_count,e2_spd_kmh,e2_occ,e3_id,e3_count,e3_spd_kmh,e3_occ,e4_id,e4_count,e4_spd_kmh,e4_occ,e5_id,e5_count,e5_spd_kmh,e5_occ,e6_id,e6_count,e6_spd_kmh,e6_occ,e7_id,e7_count,e7_spd_kmh,e7_occ,e8_id,e8_count,e8_spd_kmh,e8_occ,traffic_state,congestion_index,speed_ma5,speed_ma15,wait_ma5,vehicle_ma5,speed_change_pct,efficiency,hour_of_day,traffic_pressure,state_by_speed,state_by_wait,state_by_density,final_state,severity,is_anomaly,predicted_next_state,recommendation
2026-04-01 09:48:51,210,50,0.405,1.46,68.68,169.0,0,0,0,-1149832778#0,1,0.0,0.285,-1149832778#1,0,100.01,0.0,-1149832778#2,0,100.01,0.0,-1149832778#3,0,100.01,0.0,-1175493775#0,0,100.01,0.0,-1175493775#1,0,100.01,0.0,-1175493775#2,0,100.01,0.0,-1215966886,0,50.0,0.0,Tắc nghẽn,0.811,5.236,15.104000000000001,52.35799999999999,49.6,-69.95884773662551,0.0,0,1395.935,Tắc nghẽn,Chậm,Tắc nghẽn,Tắc nghẽn,3,0,Tắc nghẽn,"Điều tiết khẩn cấp, ưu tiên hướng thoát, gửi cảnh báo"
2026-04-01 09:48:51,220,50,0.201,0.72,78.4,179.0,0,0,0,-1149832778#0,2,0.0,0.57,-1149832778#1,0,100.01,0.0,-1149832778#2,0,100.01,0.0,-1149832778#3,0,100.01,0.0,-1175493775#0,0,100.01,0.0,-1175493775#1,0,100.01,0.0,-1175493775#2,0,100.01,0.0,-1215966886,0,50.0,0.0,Tắc nghẽn,0.853,3.9200000000000004,13.452,60.548,49.8,-50.68493150684932,0.0,0,2279.07,Tắc nghẽn,Chậm,Tắc nghẽn,Tắc nghẽn,3,0,Tắc nghẽn,"Điều tiết khẩn cấp, ưu tiên hướng thoát, gửi cảnh báo"
2026-04-01 09:48:51,230,50,0.451,1.62,87.32,189.0,0,0,0,-1149832778#0,2,0.0,0.57,-1149832778#1,0,100.01,0.0,-1149832778#2,0,100.01,0.0,-1149832778#3,0,100.01,0.0,-1175493775#0,0,100.01,0.0,-1175493775#1,0,100.01,0.0,-1175493775#2,0,100.01,0.0,-1215966886,0,50.0,0.0,Tắc nghẽn,0.872,2.996,11.870000000000001,69.24,49.8,125.00000000000004,0.0,0,1666.412,Tắc nghẽn,Chậm,Tắc nghẽn,Tắc nghẽn,3,0,Tắc nghẽn,"Điều tiết khẩn cấp, ưu tiên hướng thoát, gửi cảnh báo"
2026-04-01 09:48:51,240,50,0.367,1.32,96.92,199.0,0,0,0,-1149832778#0,2,0.0,0.57,-1149832778#1,0,100.01,0.0,-1149832778#2,0,100.01,0.0,-1149832778#3,0,100.01,0.0,-1175493775#0,0,100.01,0.0,-1175493775#1,0,100.01,0.0,-1175493775#2,0,100.01,0.0,-1215966886,0,50.0,0.0,Tắc nghẽn,0.907,1.996,10.537333333333333,78.188,50.0,-18.518518518518523,0.0,0,2088.793,Tắc nghẽn,Tắc nghẽn,Tắc nghẽn,Tắc nghẽn,3,0,Tắc nghẽn,"Điều tiết khẩn cấp, ưu tiên hướng thoát, gửi cảnh báo"
2026-04-01 09:48:51,250,50,0.535,1.93,106.52,209.0,0,0,0,-1149832778#0,2,0.0,0.57,-1149832778#1,0,100.01,0.0,-1149832778#2,0,100.01,0.0,-1149832778#3,0,100.01,0.0,-1175493775#0,0,100.01,0.0,-1175493775#1,0,100.01,0.0,-1175493775#2,0,100.01,0.0,-1215966886,0,50.0,0.0,Tắc nghẽn,0.932,1.41,9.036666666666667,87.56800000000001,50.0,46.21212121212119,0.0,0,1817.747,Tắc nghẽn,Tắc nghẽn,Tắc nghẽn,Tắc nghẽn,3,0,Tắc nghẽn,"Điều tiết khẩn cấp, ưu tiên hướng thoát, gửi cảnh báo"
2026-04-01 09:48:51,260,50,0.53,1.91,116.12,219.0,0,0,0,-1149832778#0,2,0.0,0.57,-1149832778#1,0,100.01,0.0,-1149832778#2,0,100.01,0.0,-1149832778#3,0,100.01,0.0,-1175493775#0,0,100.01,0.0,-1175493775#1,0,100.01,0.0,-1175493775#2,0,100.01,0.0,-1215966886,0,50.0,0.0,Tắc nghẽn,0.964,1.5,7.58,97.056,50.0,-1.0362694300518172,0.0,0,1995.189,Tắc nghẽn,Tắc nghẽn,Tắc nghẽn,Tắc nghẽn,3,0,Tắc nghẽn,"Điều tiết khẩn cấp, ưu tiên hướng thoát, gửi cảnh báo"
2026-04-01 09:48:51,270,50,0.275,0.99,125.78,229.0,0,0,0,-1149832778#0,2,0.0,0.57,-1149832778#1,0,100.01,0.0,-1149832778#2,0,100.01,0.0,-1149832778#3,0,100.01,0.0,-1175493775#0,0,100.01,0.0,-1175493775#1,0,100.01,0.0,-1175493775#2,0,100.01,0.0,-1215966886,0,50.0,0.0,Tắc nghẽn,0.988,1.554,6.372000000000001,106.532,50.0,-48.167539267015705,0.0,0,3160.302,Tắc nghẽn,Tắc nghẽn,Tắc nghẽn,Tắc nghẽn,3,0,Tắc nghẽn,"Điều tiết khẩn cấp, ưu tiên hướng thoát, gửi cảnh báo"
2026-04-01 09:48:51,280,50,0.262,0.94,135.58,239.0,0,0,0,-1149832778#0,2,0.0,0.57,-1149832778#1,0,100.01,0.0,-1149832778#2,0,100.01,0.0,-1149832778#3,0,100.01,0.0,-1175493775#0,0,100.01,0.0,-1175493775#1,0,100.01,0.0,-1175493775#2,0,100.01,0.0,-1215966886,0,50.0,0.0,Tắc nghẽn,0.989,1.418,5.284666666666667,116.18400000000001,50.0,-5.05050505050505,0.0,0,3494.33,Tắc nghẽn,Tắc nghẽn,Tắc nghẽn,Tắc nghẽn,3,0,Tắc nghẽn,"Điều tiết khẩn cấp, ưu tiên hướng thoát, gửi cảnh báo"
2026-04-01 09:48:51,290,50,0.129,0.47,145.38,249.0,0,0,0,-1149832778#0,2,0.0,0.57,-1149832778#1,0,100.01,0.0,-1149832778#2,0,100.01,0.0,-1149832778#3,0,100.01,0.0,-1175493775#0,0,100.01,0.0,-1175493775#1,0,100.01,0.0,-1175493775#2,0,100.01,0.0,-1215966886,0,50.0,0.0,Tắc nghẽn,0.994,1.248,4.064,125.876,50.0,-50.0,0.0,0,4944.898,Tắc nghẽn,Tắc nghẽn,Tắc nghẽn,Tắc nghẽn,3,0,Tắc nghẽn,"Điều tiết khẩn cấp, ưu tiên hướng thoát, gửi cảnh báo"
2026-04-01 09:48:51,300,50,0.253,0.91,155.18,259.0,0,0,0,-1149832778#0,2,0.0,0.57,-1149832778#1,0,100.01,0.0,-1149832778#2,0,100.01,0.0,-1149832778#3,0,100.01,0.0,-1175493775#0,0,100.01,0.0,-1175493775#1,0,100.01,0.0,-1175493775#2,0,100.01,0.0,-1215966886,0,50.0,0.0,Tắc nghẽn,0.989,1.044,3.1940000000000004,135.608,50.0,93.61702127659576,0.0,0,4062.304,Tắc nghẽn,Tắc nghẽn,Tắc nghẽn,Tắc nghẽn,3,0,Tắc nghẽn,"Điều tiết khẩn cấp, ưu tiên hướng thoát, gửi cảnh báo"
