edge_id,freq,lanes,length_m,speed_kmh,capacity,peak_flow,avg_flow,vc_ratio,bpr_factor,los_grade,los_desc,travel_free,travel_actual,delay_s,risk_score
1381966658#0,0,1,1.95,10.0,1800.0,0.0,0.0,0.0,1.0,A,Thông thoáng hoàn toàn,0.7,0.7,0.0,0.0
1381966658#1,0,1,0.77,10.0,1800.0,0.0,0.0,0.0,1.0,A,Thông thoáng hoàn toàn,0.28,0.28,0.0,0.0
1381966659#0,0,1,3.14,10.0,1800.0,0.0,0.0,0.0,1.0,A,Thông thoáng hoàn toàn,1.13,1.13,0.0,0.0
1381966659#1,0,1,4.44,10.0,1800.0,0.0,0.0,0.0,1.0,A,Thông thoáng hoàn toàn,1.6,1.6,0.0,0.0
1381966660#0,0,1,0.74,10.0,1800.0,0.0,0.0,0.0,1.0,A,Thông thoáng hoàn toàn,0.27,0.27,0.0,0.0
1381966660#1,0,1,0.2,10.0,1800.0,0.0,0.0,0.0,1.0,A,Thông thoáng hoàn toàn,0.07,0.07,0.0,0.0
1385625111#0,0,1,0.2,80.0,1800.0,0.0,0.0,0.0,1.0,A,Thông thoáng hoàn toàn,0.01,0.01,0.0,0.0
1489694985,0,1,0.2,80.0,1800.0,0.0,0.0,0.0,1.0,A,Thông thoáng hoàn toàn,0.01,0.01,0.0,0.0
191937819#1,0,2,0.14,100.0,3600.0,0.0,0.0,0.0,1.0,A,Thông thoáng hoàn toàn,0.01,0.01,0.0,0.0
191937848#2,0,3,2.34,100.0,5400.0,0.0,0.0,0.0,1.0,A,Thông thoáng hoàn toàn,0.08,0.08,0.0,0.0
191937850#0,0,2,1.41,100.0,3600.0,0.0,0.0,0.0,1.0,A,Thông thoáng hoàn toàn,0.05,0.05,0.0,0.0
211840922#2,0,5,2.64,60.0,9000.0,0.0,0.0,0.0,1.0,A,Thông thoáng hoàn toàn,0.16,0.16,0.0,0.0
32577544#1,0,1,0.2,50.0,1800.0,0.0,0.0,0.0,1.0,A,Thông thoáng hoàn toàn,0.01,0.01,0.0,0.0
32577544#3,0,1,0.2,50.0,1800.0,0.0,0.0,0.0,1.0,A,Thông thoáng hoàn toàn,0.01,0.01,0.0,0.0
606920724#4,0,1,0.2,80.0,1800.0,0.0,0.0,0.0,1.0,A,Thông thoáng hoàn toàn,0.01,0.01,0.0,0.0
607291202,0,1,9.32,80.0,1800.0,0.0,0.0,0.0,1.0,A,Thông thoáng hoàn toàn,0.42,0.42,0.0,0.0
720360979#0,0,1,0.2,10.0,1800.0,0.0,0.0,0.0,1.0,A,Thông thoáng hoàn toàn,0.07,0.07,0.0,0.0
720360979#1,0,1,0.2,10.0,1800.0,0.0,0.0,0.0,1.0,A,Thông thoáng hoàn toàn,0.07,0.07,0.0,0.0
720360980,0,1,0.2,10.0,1800.0,0.0,0.0,0.0,1.0,A,Thông thoáng hoàn toàn,0.07,0.07,0.0,0.0
720360981#0,0,1,0.2,10.0,1800.0,0.0,0.0,0.0,1.0,A,Thông thoáng hoàn toàn,0.07,0.07,0.0,0.0
720360981#1,0,1,0.2,10.0,1800.0,0.0,0.0,0.0,1.0,A,Thông thoáng hoàn toàn,0.07,0.07,0.0,0.0
721758080,0,2,1.52,60.0,3600.0,0.0,0.0,0.0,1.0,A,Thông thoáng hoàn toàn,0.09,0.09,0.0,0.0
722357077,0,1,3.32,10.0,1800.0,0.0,0.0,0.0,1.0,A,Thông thoáng hoàn toàn,1.19,1.19,0.0,0.0
722555105#1,0,1,3.37,80.0,1800.0,0.0,0.0,0.0,1.0,A,Thông thoáng hoàn toàn,0.15,0.15,0.0,0.0
722555106#0,0,1,0.38,10.0,1800.0,0.0,0.0,0.0,1.0,A,Thông thoáng hoàn toàn,0.14,0.14,0.0,0.0
722555106#1,0,1,5.33,10.0,1800.0,0.0,0.0,0.0,1.0,A,Thông thoáng hoàn toàn,1.92,1.92,0.0,0.0
722555106#2,0,1,0.2,10.0,1800.0,0.0,0.0,0.0,1.0,A,Thông thoáng hoàn toàn,0.07,0.07,0.0,0.0
722555106#3,0,1,0.2,10.0,1800.0,0.0,0.0,0.0,1.0,A,Thông thoáng hoàn toàn,0.07,0.07,0.0,0.0
723249849#0,0,3,4.76,100.0,5400.0,0.0,0.0,0.0,1.0,A,Thông thoáng hoàn toàn,0.17,0.17,0.0,0.0
